episode,episode_reward,goal_reached,reason,max_steps
1,-29220.170849494367,0,max step reached,300
2,-29329.046893852726,0,max step reached,300
3,-16256.638487692251,0,max step reached,300
4,-29262.014547145664,0,max step reached,300
5,-16312.025844774606,0,max step reached,300
6,-29271.965779484115,0,max step reached,300
7,-29198.095393139265,0,max step reached,300
8,-29266.819511180653,0,max step reached,300
9,-29154.94107660999,0,max step reached,300
10,-29192.06821666144,0,max step reached,300
11,-15709.13731822147,0,max step reached,300
12,-15754.721624956512,0,max step reached,300
13,-29280.095113033993,0,max step reached,300
14,-15600.354972422725,0,max step reached,300
15,-29262.302113753263,0,max step reached,300
16,-15870.60557766073,0,max step reached,300
17,-29232.66584687168,0,max step reached,300
18,-29358.28086602584,0,max step reached,300
19,-15580.940085028891,0,max step reached,300
20,-18025.015851100474,0,max step reached,300
21,-17594.59508234188,0,max step reached,300
22,-16398.266016289697,0,max step reached,300
23,-17949.226819241725,0,max step reached,300
24,-16157.369488416212,0,max step reached,300
25,-17851.607761737,0,max step reached,300
26,-29255.826125030664,0,max step reached,300
27,-15623.686508235285,0,max step reached,300
28,-28967.366776957417,0,max step reached,300
29,-16771.860397184457,0,max step reached,300
30,-29305.889500395435,0,max step reached,300
31,-16540.79082437755,0,max step reached,300
32,-29262.36756638274,0,max step reached,300
33,-16762.902393222532,0,max step reached,300
34,-17017.034225790092,0,max step reached,300
35,-29251.869752501065,0,max step reached,300
36,-16052.250938253392,0,max step reached,300
37,-29295.519488301885,0,max step reached,300
38,-16610.24587302347,0,max step reached,300
39,-29223.66183934326,0,max step reached,300
40,-15754.688419893217,0,max step reached,300
41,-29363.62937314911,0,max step reached,300
42,-28955.456304506453,0,max step reached,300
43,-29294.891827405976,0,max step reached,300
44,-29206.384857119694,0,max step reached,300
45,-29358.373735417943,0,max step reached,300
46,-16921.167257650806,0,max step reached,300
47,-29265.750689926557,0,max step reached,300
48,-29211.71268851667,0,max step reached,300
49,-29166.398235392124,0,max step reached,300
50,-29171.62221691634,0,max step reached,300
51,-29184.856685901654,0,max step reached,300
52,-29366.12128674132,0,max step reached,300
53,-16460.973513480676,0,max step reached,300
54,-16887.968803595137,0,max step reached,300
55,-29255.52067030011,0,max step reached,300
56,-16247.415467146357,0,max step reached,300
57,-16151.65738409949,0,max step reached,300
58,-29083.084636650612,0,max step reached,300
59,-15761.713272146062,0,max step reached,300
60,-29317.79420376125,0,max step reached,300
61,-29280.612384147305,0,max step reached,300
62,-29099.89644872538,0,max step reached,300
63,-17052.945902146756,0,max step reached,300
64,-17471.78579821973,0,max step reached,300
65,-16213.482570582992,0,max step reached,300
66,-15928.191949726683,0,max step reached,300
67,-17149.368774172748,0,max step reached,300
68,-29259.872970542387,0,max step reached,300
69,-29198.915256654465,0,max step reached,300
70,-16808.198508356934,0,max step reached,300
71,-29208.127404023162,0,max step reached,300
72,-17814.316262050288,0,max step reached,300
73,-29359.70357089109,0,max step reached,300
74,-29224.172635716728,0,max step reached,300
75,-29343.454282356186,0,max step reached,300
76,-29307.37376105983,0,max step reached,300
77,-29326.172837282866,0,max step reached,300
78,-16689.62911974341,0,max step reached,300
79,-29307.359058759164,0,max step reached,300
80,-29379.083248370625,0,max step reached,300
81,-29210.476535593163,0,max step reached,300
82,-29177.940177253324,0,max step reached,300
83,-29347.645474711917,0,max step reached,300
84,-5303.137910823263,1,goal reached,142
85,343.7348794407361,1,goal reached,49
86,223.62636287281452,1,goal reached,53
87,355.30797619735654,1,goal reached,50
88,347.29671639904075,1,goal reached,53
89,329.7094748295307,1,goal reached,53
